query,topIntent,topScore,entityMatches
quels sont les résultats pour la liste les verts ?,IntentResultatsGCParListe,0.9299,"{""ListeElectorale"":[""VERT""]}"
Quels sont les résultats pour Les Verts,IntentResultatsGCParListe,,"{""ListeElectorale"":[""VERT""]}"
quels sont les résultats pour la liste ensemble à gauche,IntentResultatsGCParListe,0.9284,"{""ListeElectorale"":[""EAG""]}"
Quels sont les résultats pour Ensemble À Gauche,IntentResultatsGCParListe,,"{""ListeElectorale"":[""EAG""]}"
quels sont les résultats pour ensemble,IntentResultatsGCParListe,0.9284,"{""ListeElectorale"":[""EAG""]}"
Quels sont les résultats pour la liste ensemble à gauche,IntentResultatsGCParListe,,"{""ListeElectorale"":[""VERT""]}"
Quels sont les résultats pour le MCG,IntentResultatsGCParListe,,"{""ListeElectorale"":[""MCG""]}"
Quels sont les résultats pour PLR - PDC - Entente,IntentResultatsGCParListe,,"{""ListeElectorale"":[""ENT""]}"
Quels sont les résultats pour la liste entente,IntentResultatsGCParListe,,"{""ListeElectorale"":[""ENT""]}"
Quels sont les résultats pour entente PLR PDC,IntentResultatsGCParListe,,"{""ListeElectorale"":[""ENT""]}"
Quels sont les résultats pour Rien Pas Grand Chose,IntentResultatsGCParListe,,"{""ListeElectorale"":[""RIEN""]}"
Quels sont les résultats pour la liste Rien,IntentResultatsGCParListe,,"{""ListeElectorale"":[""RIEN""]}"
Quels sont les résultats pour Santé,IntentResultatsGCParListe,,"{""ListeElectorale"":[""SAN""]}"
Quels sont les résultats pour la liste sante,IntentResultatsGCParListe,,"{""ListeElectorale"":[""SAN""]}"
Quels sont les résultats de l'UDC,IntentResultatsGCParListe,,"{""ListeElectorale"":[""UDC""]}"
Quels sont les résultats pour Prospérité Maîtrisée,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PROM""]}"
Quels sont les résultats pour la liste propérité,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PROM""]}"
Quels sont les résultats pour la liste properite,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PROM""]}"
Quels sont les résultats pour La Liste Pour Genève,IntentResultatsGCParListe,,"{""ListeElectorale"":[""LPG""]}"
Quels sont les résultats pour la liste pour genève,IntentResultatsGCParListe,,"{""ListeElectorale"":[""LPG""]}"
Quels sont les résultats pour Genève En Marche,IntentResultatsGCParListe,,"{""ListeElectorale"":[""GEMA""]}"
Quels sont les résultats pour PBD Genève,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PBD""]}"
Quels sont les résultats pour la liste PBD,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PBD""]}"
Quels sont les résultats pour Vert'Libéraux,IntentResultatsGCParListe,,"{""ListeElectorale"":[""VERL""]}"
Quels sont les résultats pour les verts libéraux,IntentResultatsGCParListe,,"{""ListeElectorale"":[""VERL""]}"
Quels sont les résultats pour Libéraux-Radicaux,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PLR""]}"
Quels sont les résultats pour les libéraux radicaux,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PLR""]}"
Quels sont les résultats pour le PLR,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PLR""]}"
Quels sont les résultats pour Démocrate-Chrétien,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PDC""]}"
Quels sont les résultats pour les démocrates chrétiens,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PDC""]}"
Quels sont les résultats pour le PDC,IntentResultatsGCParListe,,"{""ListeElectorale"":[""PDC""]}"
Quels sont les résultats pour Laliste-Femmes 2018,IntentResultatsGCParListe,,"{""ListeElectorale"":[""FEM""]}"
Quels sont les résultats pour la liste des femmes,IntentResultatsGCParListe,,"{""ListeElectorale"":[""FEM""]}"
Quels sont les résultats pour la liste Égalité Et Équité,IntentResultatsGCParListe,,"{""ListeElectorale"":[""LEE""]}"
quels sont les résultats pour la liste égalité et équité,IntentResultatsGCParListe,0.7288,"{""ListeElectorale"":[""LEE""]}"
