query,topIntent
qqsaacs435d$$1,ErrorHandling
sjkanadands,ErrorHandling
"!!!!!",ErrorHandling
"?????",ErrorHandling
oijakdeww  elsdkkwe,ErrorHandling
how many people voted,CE_ParticipationLevel
what was the participation level,CE_ParticipationLevel
what was the participation rate,CE_ParticipationLevel
how many votes did this candidate get,CE_ResultCandidate
was this candidate elected,CE_ResultCandidate
how many modified votes did this candidate get,CE_ResultCandidate
how many votes did this list get,CE_ResultList
did this list win,CE_ResultList
did this list loose,CE_ResultList
how well did this list do,CE_ResultList
what were the results for this local,CE_ResultsLocal
who was elected in this local,CE_ResultsLocal
which party won in this local,CE_ResultsLocal
which list did best in this local,CE_ResultsLocal
how many people voted,GC_ParticipationLevel
what was the participation level,GC_ParticipationLevel
what was the participation rate,GC_ParticipationLevel
how many votes did this candidate get,GC_ResultCandidate
was this candidate elected,GC_ResultCandidate
how many modified votes did this candidate get,GC_ResultCandidate
how many votes did this list get,GC_ResultList
did this list win,GC_ResultList
did this list loose,GC_ResultList
how well did this list do,GC_ResultList
what were the results for this local,GC_ResultsLocal
who was elected in this local,GC_ResultsLocal
which party won in this local,GC_ResultsLocal
which list did best in this local,GC_ResultsLocal
how can i use you,HelpUser
how can i ask questions,HelpUser
what can i ask,HelpUser
"what can you tell me ",HelpUser
hello,WelcomeGreeting
hi,WelcomeGreeting
good morning,WelcomeGreeting
good afternoon,WelcomeGreeting
hey there,WelcomeGreeting
